Calculation of pessimistic core for various k and n
k = 1
n,coalition-wise,partition-wise
3,No,No
4,No,No
5,Yes,No
6,Yes,Yes
7,Yes,No
8,Yes,Yes
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No

k = 2
n,coalition-wise,partition-wise
3,No,No
4,No,No
5,Yes,Yes
6,Yes,Yes
7,Yes,Yes
8,Yes,Yes
9,Yes,Yes
10,Yes,Yes
11,Yes,Yes
12,Yes,Yes

k = 3
n,coalition-wise,partition-wise
4,No,No
5,Yes,Yes
6,No,No
7,Yes,Yes
8,Yes,Yes
9,Yes,Yes
10,Yes,Yes
11,Yes,Yes
12,Yes,Yes

k = 4
n,coalition-wise,partition-wise
5,Yes,No
6,Yes,Yes
7,Yes,Yes
8,No,No
9,Yes,Yes
10,Yes,Yes
11,Yes,Yes
12,Yes,Yes

k = 5
n,coalition-wise,partition-wise
6,Yes,Yes
7,Yes,Yes
8,Yes,Yes
9,Yes,Yes
10,No,No
11,No,No
12,Yes,Yes

k = 6
n,coalition-wise,partition-wise
7,Yes,No
8,Yes,Yes
9,Yes,Yes
10,Yes,Yes
11,No,No
12,No,No

