Partition,Reciprocal Scores,Coalition-wise,Partition-wise
"[[1], [2, 3, 4, 5]]","['1/9', '1/36', '1/36', '1/36', '1/36']",Yes,No
"[[1], [2, 3, 4, 5, 6, 7]]","['1/9', '1/54', '1/54', '1/54', '1/54', '1/54', '1/54']",Yes,No
"[[1], [2, 3], [4, 5], [6, 7]]","['1/25', '1/50', '1/50', '1/50', '1/50', '1/50', '1/50']",Yes,No
"[[1, 2], [3, 4, 5], [6, 7, 8]]","['1/32', '1/32', '1/48', '1/48', '1/48', '1/48', '1/48', '1/48']",Yes,No
"[[1], [2], [3, 4, 5], [6, 7, 8]]","['1/25', '1/25', '1/75', '1/75', '1/75', '1/75', '1/75', '1/75']",Yes,No
"[[1], [2, 3, 4, 5, 6, 7, 8, 9]]","['1/9', '1/72', '1/72', '1/72', '1/72', '1/72', '1/72', '1/72', '1/72']",Yes,No
"[[1], [2], [3, 4, 5], [6, 7, 8, 9]]","['1/25', '1/25', '1/75', '1/75', '1/75', '1/100', '1/100', '1/100', '1/100']",Yes,No
"[[1], [2, 3], [4, 5], [6, 7], [8, 9]]","['1/36', '1/72', '1/72', '1/72', '1/72', '1/72', '1/72', '1/72', '1/72']",Yes,No
"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10]]","['1/9', '1/81', '1/81', '1/81', '1/81', '1/81', '1/81', '1/81', '1/81', '1/81']",Yes,No
"[[1, 2], [3, 4, 5, 6], [7, 8, 9, 10]]","['1/32', '1/32', '1/64', '1/64', '1/64', '1/64', '1/64', '1/64', '1/64', '1/64']",Yes,No
"[[1], [2], [3, 4, 5, 6], [7, 8, 9, 10]]","['1/25', '1/25', '1/100', '1/100', '1/100', '1/100', '1/100', '1/100', '1/100', '1/100']",Yes,No
"[[1], [2, 3, 4], [5, 6, 7], [8, 9, 10]]","['1/25', '1/75', '1/75', '1/75', '1/75', '1/75', '1/75', '1/75', '1/75', '1/75']",Yes,No
"[[1], [2], [3, 4], [5, 6, 7], [8, 9, 10]]","['1/36', '1/36', '1/72', '1/72', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108']",Yes,No
"[[1], [2, 3], [4, 5], [6, 7], [8, 9, 10]]","['1/36', '1/72', '1/72', '1/72', '1/72', '1/72', '1/72', '1/108', '1/108', '1/108']",Yes,No
"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]","['1/9', '1/90', '1/90', '1/90', '1/90', '1/90', '1/90', '1/90', '1/90', '1/90', '1/90']",Yes,No
"[[1], [2], [3, 4, 5, 6, 7, 8, 9, 10, 11]]","['1/16', '1/16', '1/144', '1/144', '1/144', '1/144', '1/144', '1/144', '1/144', '1/144', '1/144']",Yes,No
"[[1], [2], [3, 4, 5, 6], [7, 8, 9, 10, 11]]","['1/25', '1/25', '1/100', '1/100', '1/100', '1/100', '1/125', '1/125', '1/125', '1/125', '1/125']",Yes,No
